,Title,Artist
651,Trip,Ella Mai
652,Love Lies,Khalid & Normani
653,Beautiful,Bazzi Featuring Camila Cabello
654,First Off,Future Featuring Travis Scott
655,Roses,benny blanco & Juice WRLD Featuring Brendon Urie
656,Keanu Reeves,Logic
657,No Stylist,French Montana Featuring Drake
658,Crushed Up,Future
659,Best Shot,Jimmie Allen
660,Sauce!,XXXTENTACION
661,BAD!,XXXTENTACION
662,Blue Tacoma,Russell Dickerson
663,Natural,Imagine Dragons
664,Jumpin On A Jet,Future
665,Never Stop,Future
666,Consequences,Camila Cabello
667,Temptation,Future
668,Rocket Ship,Future
669,F&N,Future
670,Electricity,Silk City x Dua Lipa
671,Face My Fears,Hikaru Utada & Skrillex
672,Call The Coroner,Future
673,She Got The Best Of Me,Luke Combs
674,Fine China,Future & Juice WRLD
675,Nuketown,Ski Mask The Slump God Featuring Juice WRLD
676,Space Cadet,Metro Boomin Featuring Gunna
677,Butterfly Doors,Lil Pump
678,Valuable Pain,YoungBoy Never Broke Again
679,Can't Leave Without It,21 Savage
680,Good Form,Nicki Minaj Featuring Lil Wayne
681,idontwannabeyouanymore,Billie Eilish
682,Last Shot,Kip Moore
683,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy
684,Lost In Japan,Shawn Mendes X Zedd
685,Monster,21 Savage
686,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD
687,KIKA,6ix9ine Featuring Tory Lanez
688,Dip,Tyga & Nicki Minaj
689,Lucky You,Eminem Featuring Joyner Lucas
690,Drunk Me,Mitchell Tenpenny
691,Dangerous,Meek Mill Featuring Jeremih & PnB Rock
692,Solo de Mi,Bad Bunny
693,whoa (mind in awe),XXXTENTACION
694,All My Friends,21 Savage
695,Cozy Little Christmas,Katy Perry
696,The Christmas Song,Lauren Daigle
697,Break Da Law,21 Savage
698,1.5,21 Savage
699,Out For The Night,21 Savage
700,Gun Smoke,21 Savage
701,ASMR,21 Savage
702,Wonderful Christmastime,Paul McCartney
703,MoshPit,Kodak Black Featuring Juice WRLD
704,Testimony,Kodak Black
705,Gnarly,Kodak Black Featuring Lil Pump
706,Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA
707,MAMA,6ix9ine Featuring Nicki Minaj & Kanye West
708,Broken,lovelytheband
709,Taste,Tyga Featuring Offset
710,Guardian Angel,XXXTENTACION
711,God Is A Woman,Ariana Grande
712,I Don't Let Go,XXXTENTACION
713,What's Free,Meek Mill Featuring Rick Ross & JAY-Z
714,One Minute,XXXTENTACION Featuring Kanye West & Travis Barker
715,Train Food,XXXTENTACION
716,What Are You So Afraid Of,XXXTENTACION
717,Staring At The Sky,XXXTENTACION
718,Lie,NF
719,WAKA,6ix9ine Featuring A Boogie Wit da Hoodie
720,On Me,Meek Mill Featuring Cardi B
721,Difference (Interlude),XXXTENTACION
722,TIC TOC,6ix9ine Featuring Lil Baby
723,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz
724,Intro,Meek Mill
725,Respect The Game,Meek Mill
726,Ring,Cardi B Featuring Kehlani
727,Trauma,Meek Mill
728,Ready,Lil Baby Featuring Gunna
729,Championships,Meek Mill
730,Tic Tac Toe,Meek Mill Featuring Kodak Black
731,Almost Slipped,Meek Mill
732,Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug"
733,Pay You Back,Meek Mill Featuring 21 Savage
734,Foot Fungus,Ski Mask The Slump God
735,Crush A Lot,Lil Baby
736,Oodles O' Noodles Babies,Meek Mill
737,STOOPID,6ix9ine Featuring Bobby Shmurda
738,Global,Lil Baby
739,Word On The Street,Lil Baby
740,In My Feelings,Drake
741,Lose It,Kane Brown
742,Yes Indeed,Lil Baby & Drake
743,Nonstop,Drake
744,Boo'd Up,Ella Mai
745,Topanga,Trippie Redd
746,Come Out And Play,Billie Eilish
747,10 Freaky Girls,Metro Boomin Featuring 21 Savage
748,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD
749,I'm A Mess,Bebe Rexha
750,Hangin' On,Chris Young
751,Never Recover,Lil Baby & Gunna Featuring Drake
752,BEBE,6ix9ine Featuring Anuel AA
753,Rich,Maren Morris
754,Best Part,Daniel Caesar Featuring H.E.R.
755,Don't Come Out The House,Metro Boomin Featuring 21 Savage
756,I Love It,Kanye West & Lil Pump
757,Falling Down,Lil Peep & XXXTENTACION
758,Noticed,Lil Mosey
759,I Like Me Better,Lauv
760,Psycho,Post Malone Featuring Ty Dolla $ign
761,Sad!,XXXTENTACION
762,Bohemian Rhapsody,Queen
763,Take One,Kodak Black
764,W O R K I N  M E,Quavo
765,Mona Lisa,Lil Wayne Featuring Kendrick Lamar
766,Desperate Man,Eric Church
767,Burn The House Down,AJR
768,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
769,Love Scars 3,Trippie Redd
770,Negative Energy,Trippie Redd Featuring Kodie Shane
771,Toxic Waste,Trippie Redd
772,Drew Barrymore,Bryce Vine
773,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone
774,Back To You,Selena Gomez
775,Delicate,Taylor Swift
776,Overdue,Metro Boomin Featuring Travis Scott
777,Last Memory,TakeOff
778,Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott
779,No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage"
780,Promises,Calvin Harris & Sam Smith
781,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo"
782,Hotel Key,Old Dominion
783,Killshot,Eminem
784,Casper,TakeOff
785,Up To Something,Metro Boomin Featuring Travis Scott & Young Thug
786,The Middle,"Zedd, Maren Morris & Grey"
787,Drunk Girl,Chris Janson
788,Waste It On Me,Steve Aoki Featuring BTS
789,A Million Dreams,P!nk
790,Venom,Eminem
791,New Patek,Lil Uzi Vert
792,Break Up In The End,Cole Swindell
793,Kamikaze,Lil Mosey
794,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert
795,No Tears Left To Cry,Ariana Grande
796,Jet Lag,Future & Juice WRLD Featuring Young Scooter
797,Astronauts,Future & Juice WRLD
798,Suncity,Khalid Featuring Empress Of
799,Vertigo,Khalid
800,Yacht Club,Lil Yachty Featuring Juice WRLD
801,Make It Back,Juice WRLD
802,Kiss And Make Up,Dua Lipa & BLACKPINK
803,Africa,Weezer
804,Get Dripped,Lil Yachty Featuring Playboi Carti
805,Meant To Be,Bebe Rexha & Florida Georgia Line
806,Flip The Switch,Quavo Featuring Drake
807,Simple,Florida Georgia Line
808,Pass Out,Quavo Featuring 21 Savage
809,Medicine,Queen Naija
810,Biggest Alley Oop,Quavo
811,Rerun,Quavo Featuring Travis Scott
812,Don't Cry,Lil Wayne Featuring XXXTENTACION
813,Huncho Dreams,Quavo
814,Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby
815,Thunderclouds,"Labrinth, Sia & Diplo Present... LSD"
816,"Sunrise, Sunburn, Sunset",Luke Bryan
817,"If I'm Lyin, I'm Flyin",Kodak Black
818,Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV
819,Business Is Business,Lil Baby & Gunna
820,Is That Alright?,Lady Gaga
821,Let It Fly,Lil Wayne Featuring Travis Scott
822,Dedicate,Lil Wayne
823,Jumpsuit,twenty one pilots
824,Belly,Lil Baby & Gunna
825,My Blood,twenty one pilots
826,The Way I Am,Charlie Puth
827,Can't Be Broken,Lil Wayne
828,Maybe It's Time,Bradley Cooper
829,Nico And The Niners,twenty one pilots
830,Deep End,Lil Baby
831,I Am,Lil Baby & Gunna
832,What About Me,Lil Wayne Featuring Sosamann
833,Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj
834,Famous,Lil Wayne Featuring Reginae Carter
835,Dope N****z,Lil Wayne Featuring Snoop Dogg
836,Open Letter,Lil Wayne
837,Problems,Lil Wayne
838,Hittas,Lil Wayne
839,Open Safe,Lil Wayne
840,Took His Time,Lil Wayne
841,Mess,Lil Wayne
842,Let It All Work Out,Lil Wayne
843,Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine
844,Used 2,Lil Wayne
845,Rap Devil,Machine Gun Kelly
846,Demon,Lil Wayne
847,Perfect Strangers,Lil Wayne
848,Dope New Gospel,Lil Wayne Featuring Nivea
849,Head Above Water,Avril Lavigne
850,Perfect,Ed Sheeran
851,Nice For What,Drake
852,God's Plan,Drake
853,Barbie Dreams,Nicki Minaj
854,All Girls Are The Same,Juice WRLD
855,Fall,Eminem
856,Life Changes,Thomas Rhett
857,Hooked,Dylan Scott
858,Stargazing,Travis Scott
859,Lean Wit Me,Juice WRLD
860,Self Care,Mac Miller
861,OTW,"Khalid, Ty Dolla $ign & 6LACK"
862,Remind Me To Forget,Kygo Featuring Miguel
863,The Ringer,Eminem
864,Apes**t,The Carters
865,Hopeless Romantic,Wiz Khalifa Featuring Swae Lee
866,Solo,Clean Bandit Featuring Demi Lovato
867,Vaina Loca,Ozuna x Manuel Turizo
868,Pretty Little Fears,6LACK Featuring J. Cole
869,Mercy,Brett Young
870,Side Effects,The Chainsmokers Featuring Emily Warren
871,Cry Pretty,Carrie Underwood
872,Not Alike,Eminem Featuring Royce Da 5'9
873,Mine,Bazzi
874,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny"
875,Hurt Feelings,Mac Miller
876,Greatest,Eminem
877,Come Back To Earth,Mac Miller
878,IDOL,BTS Featuring Nicki Minaj
879,Feels Like Summer,Childish Gambino
880,I'm Upset,Drake
881,Narcos,Migos
882,Normal,Eminem
883,Stepping Stone,Eminem
884,Nice Guy,Eminem & Jessie Reyez
885,Good Guy,Eminem Featuring Jessie Reyez
886,I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo
887,1942,G-Eazy Featuring Yo Gotti & YBN Nahmir
888,Summertime Magic,Childish Gambino
889,Friends,Marshmello & Anne-Marie
890,Never Be The Same,Camila Cabello
891,One Kiss,Calvin Harris & Dua Lipa
892,Moonlight,XXXTENTACION
893,Get Along,Kenny Chesney
894,Unica,Ozuna
895,Changes,XXXTENTACION
896,Happy Now,Zedd & Elley Duhe
897,Level Up,Ciara
898,Taking A Walk,Trippie Redd
899,Don't Go Breaking My Heart,Backstreet Boys
900,Mob Ties,Drake
901,Wasted,Juice WRLD Featuring Lil Uzi Vert
902,Sin Pijama,Becky G + Natti Natasha
903,This Is America,Childish Gambino
904,In My Blood,Shawn Mendes
905,Sweetener,Ariana Grande
906,Everytime,Ariana Grande
907,R.E.M,Ariana Grande
908,Kiss Somebody,Morgan Evans
909,Goodnight N Go,Ariana Grande
910,Made For Now,Janet & Daddy Yankee
911,The Light Is Coming,Ariana Grande Featuring Nicki Minaj
912,Bed,Nicki Minaj Featuring Ariana Grande
913,Growing Pains,Alessia Cara
914,Take Back Home Girl,Chris Lane Featuring Tori Kelly
915,Pete Davidson,Ariana Grande
916,Chun-Li,Nicki Minaj
917,Rich Sex,Nicki Minaj Featuring Lil Wayne
918,Majesty,Nicki Minaj Featuring Eminem & Labrinth
919,Ganja Burns,Nicki Minaj
920,Be Careful,Cardi B
921,Stop Trying To Be God,Travis Scott
922,Can't Say,Travis Scott
923,R.I.P Screw,Travis Scott
924,No Bystanders,Travis Scott
925,Carousel,Travis Scott
926,Album Of The Year (Freestyle),J. Cole
927,5% Tint,Travis Scott
928,Have It All,Jason Mraz
929,Nevermind,Dennis Lloyd
930,Thought I Knew You,Nicki Minaj Featuring The Weeknd
931,NC-17,Travis Scott
932,Who? What!,Travis Scott
933,Skeletons,Travis Scott
934,Astrothunder,Travis Scott
935,Butterfly Effect,Travis Scott
936,Houstonfornication,Travis Scott
937,Coffee Bean,Travis Scott
938,Could've Been,H.E.R. Featuring Bryson Tiller
939,Up Down,Morgan Wallen Featuring Florida Georgia Line
940,I Was Jack (You Were Diane),Jake Owen
941,Coming Home,Keith Urban Featuring Julia Michaels
942,Handgun,YG Featuring A$AP Rocky
943,Whatever It Takes,Imagine Dragons
944,Look Alive,BlocBoy JB Featuring Drake
945,Sober,Demi Lovato
946,Sit Next To Me,Foster The People
947,One Number Away,Luke Combs
948,Don't Matter To Me,Drake Featuring Michael Jackson
949,Ocean,TK Kravitz Featuring Jacqueez
950,One Day,Logic Featuring Ryan Tedder
951,Freaky Friday,Lil Dicky Featuring Chris Brown
952,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta
953,Ball For Me,Post Malone Featuring Nicki Minaj
954,Call Out My Name,The Weeknd
955,All Mine,Kanye West
956,Karma,Queen Naija
957,X,Nicky Jam x J Balvin
958,I Might Need Security,Chance The Rapper
959,Emotionless,Drake
960,Can't Take A Joke,Drake
961,Elevate,Drake
962,Fr Fr,Wiz Khalifa Featuring Lil Skies
963,Blue Tint,Drake
964,After Dark,Drake Featuring Static Major & Ty Dolla $ign
965,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney
966,Zombie,Bad Wolves
967,8 Out Of 10,Drake
968,31 Days,Future
969,Talk Up,Drake Featuring JAY-Z
970,Wifi Lit,Future
971,Jocelyn Flores,XXXTENTACION
972,Sandra's Rose,Drake
973,Summer Games,Drake
974,Jaded,Drake
975,That's How You Feel,Drake
976,Survival,Drake
977,Cuddle My Wrist,Future
978,Millidelphia,Meek Mill Featuring Swizz Beatz
979,Racks Blue,Future
980,Finesse,Drake
981,Drug Addicts,Lil Pump
982,KOD,J. Cole
983,Peak,Drake
984,Kream,Iggy Azalea Feauring Tyga
985,Is There More,Drake
986,Ratchet Happy Birthday,Drake
987,Final Fantasy,Drake
988,March 14,Drake
989,Done For Me,Charlie Puth Featuring Kehlani
990,Esskeetit,Lil Pump
991,Everybody Dies In Their Nightmares,XXXTENTACION
992,Downtown's Dead,Sam Hunt
993,Japan,Famous Dex
994,Me Niego,Reik Featuring Ozuna & Wisin
995,The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION
996,I Lived It,Blake Shelton
997,Plug Walk,Rich The Kid
998,Walk It Talk It,Migos Featuring Drake
999,Rockstar,Post Malone Featuring 21 Savage
1000,F**k Love,XXXTENTACION Featuring Trippie Redd
1001,Havana,Camila Cabello Featuring Young Thug
1002,New Rules,Dua Lipa
1003,Wait,Maroon 5
1004,Dura,Daddy Yankee
1005,Bigger > You,"2 Chainz, Drake & Quavo"
1006,Say Amen (Saturday Night),Panic! At The Disco
1007,Hope,XXXTENTACION
1008,TATI,6ix9ine Featuring DJ SPINKING
1009,Fake Love,BTS
1010,I Know You,Lil Skies Featuring Yung Pinch
1011,Numb,XXXTENTACION
1012,Powerglide,Rae Sremmurd & Juicy J
1013,Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert
1014,Overdose,YoungBoy Never Broke Again
1015,"Woman, Amen",Dierks Bentley
1016,Born To Be Yours,Kygo & Imagine Dragons
1017,Boss,The Carters
1018,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
